ds,yhat,yhat_lower,yhat_upper,raw_data,status
2023-04-06 21:43:00,6717589.28482589,4887065.658445423,8731650.837029412,10827815.38,too high
2023-04-06 21:45:00,6759820.690709555,4823081.182771002,8757337.359314937,9549886.267,too high
2023-04-06 22:43:00,5968901.305813576,4016024.9340520888,7928083.861088528,10349394.15,too high
2023-04-06 22:45:00,5992351.950907107,4018262.209230608,7915456.883553631,9306733.467,too high
2023-04-06 23:43:00,4748002.254587141,2812496.253549716,6873601.095641889,8510825.9,too high
2023-04-06 23:45:00,4768172.766720002,2685404.9362169243,6827950.368045629,7430178.967,too high
2023-04-07 00:43:00,4029040.5842635455,1972950.6957007789,5953850.955030658,7096906.567,too high
2023-04-07 00:45:00,3993484.4422502927,1937190.6632761564,6031292.705535537,6835518.883,too high
2023-04-07 02:43:00,2690626.4958477863,715466.5778729131,4681680.63593139,7073781.967,too high
2023-04-07 02:45:00,2652909.643937822,640272.5671427291,4803799.923394368,6675099.083,too high
2023-04-07 02:47:00,2618739.1489956505,464833.8787475878,4631768.978267344,7389380.65,too high
2023-04-07 03:43:00,2562281.3797404445,592928.3174608216,4754926.010852571,7155774.217,too high
2023-04-07 04:43:00,2591040.051473228,608764.9484806326,4660277.981576031,7591319.9,too high
2023-04-07 05:43:00,2937463.8648897847,892856.5140698525,5026569.892836591,6586200.4,too high
2023-04-07 06:43:00,4081732.164348202,2078387.887806114,6019024.980546461,9213995.367,too high
2023-04-07 06:45:00,4131433.559997478,2086574.1355837544,6033203.449476533,6190725.017,too high
2023-04-07 07:43:00,5564649.737226808,3551047.9947882188,7704143.362466074,10160955.98,too high
2023-04-07 08:43:00,8014739.542974392,6006098.404504634,9869578.9642449,11981341.85,too high
2023-04-07 08:55:00,10016315.342894148,8089834.588475824,11982098.775111616,7453079.15,too low
2023-04-07 08:57:00,10575287.556313366,8626307.480226243,12529580.001006028,7750140.983,too low
2023-04-07 09:01:00,11726960.75394228,9790644.413381333,13930400.2295005,9716210.333,too low
2023-04-07 09:03:00,12267391.969569065,10154175.165873893,14115158.074611038,17981619.15,too high
2023-04-07 09:05:00,12750447.0148456,10575612.860394694,14693630.210618934,16535720.77,too high
2023-04-07 09:07:00,13152774.418383224,11094693.66197687,15071600.30509483,16534575.2,too high
2023-04-07 09:09:00,13456297.069896016,11578013.627205746,15466060.53694667,15721540.87,too high
2023-04-07 09:19:00,13310831.191285864,11187375.395241603,15381769.74595962,10820632.2,too low
2023-04-07 09:21:00,13007736.714725131,11211461.48733829,14852736.432631044,10041515.6,too low
2023-04-07 09:43:00,11087094.042703705,9021308.088211212,13122120.995905524,14123409.52,too high
2023-04-07 09:51:00,11941641.380044622,9828024.513028728,13907409.717348851,8987203.433,too low
2023-04-07 09:53:00,12154718.070807634,10192180.330439782,13987461.633460209,10096610.13,too low
2023-04-07 09:55:00,12342146.682984477,10323571.5780148,14386386.040610494,9460610.167,too low
2023-04-07 09:57:00,12495833.474267649,10466863.092010638,14477371.305297889,10394880.73,too low
2023-04-07 10:43:00,11423545.783074353,9539121.011376442,13330883.433993291,14333193.77,too high
2023-04-07 11:43:00,10235176.575325385,8366585.772304415,12289055.47595772,13176633.93,too high
2023-04-07 12:43:00,8492644.777037181,6317782.624741626,10626412.065861138,12736292.53,too high
2023-04-07 12:45:00,8464105.554564934,6472120.80101471,10332492.615448048,12703539.17,too high
2023-04-07 13:43:00,8106787.048855264,6091775.241598566,9927264.5264616,12506055.97,too high
2023-04-07 13:53:00,8367252.950118909,6489865.601324278,10339489.675110392,6404643.567,too low
2023-04-07 13:55:00,8394750.129163323,6448118.486312955,10487637.26906779,6396895.567,too low
2023-04-07 14:43:00,9342034.067287872,7450525.089549488,11329641.425020125,12756200.52,too high
2023-04-07 15:43:00,9526179.097442824,7546694.540636882,11491495.65511734,12915265.58,too high
2023-04-07 15:45:00,9516211.325725148,7468224.147385112,11551781.06572438,11693298.95,too high
2023-04-07 16:21:00,9569190.754018947,7653713.358295686,11571383.631989485,7375280.95,too low
2023-04-07 16:23:00,9572810.470538031,7644580.643761277,11563889.530888416,7481905.183,too low
2023-04-07 16:43:00,9532914.414540498,7760044.758202518,11501842.430329883,12344834.48,too high
